"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2023","90.18","87.45","90.40","87.45","1.51K","4.10%"
"03/22/2023","86.63","87.10","87.68","85.50","2.03K","-0.86%"
"03/21/2023","87.38","86.16","88.40","85.69","2.19K","2.58%"
"03/20/2023","85.18","83.70","86.00","82.13","2.39K","-0.46%"
"03/17/2023","85.57","85.68","87.07","83.43","0.64K","0.35%"
"03/16/2023","85.27","88.30","88.30","83.71","2.79K","-1.59%"
"03/15/2023","86.65","90.36","91.23","86.53","1.93K","-3.43%"
"03/14/2023","89.73","92.91","93.54","89.55","1.15K","-3.51%"
"03/13/2023","92.99","96.30","96.30","92.37","2.06K","-3.97%"
"03/10/2023","96.83","95.53","96.93","95.30","2.42K","1.50%"
"03/09/2023","95.40","95.75","96.64","93.86","1.56K","0.68%"
"03/08/2023","94.76","93.52","95.73","93.50","3.12K","2.04%"
"03/07/2023","92.87","91.12","93.59","91.11","1.28K","3.23%"
"03/06/2023","89.96","90.50","91.35","89.05","0.52K","0.77%"
"03/03/2023","89.27","90.00","90.17","88.47","0.71K","-0.92%"
"03/02/2023","90.10","94.77","95.00","89.87","0.40K","-3.94%"
"03/01/2023","93.80","96.10","96.26","93.52","0.39K","-2.17%"
"02/28/2023","95.88","96.90","97.20","95.88","1.01K","-1.05%"
"02/27/2023","96.90","95.64","96.94","95.31","0.55K","2.23%"
"02/24/2023","94.79","94.93","96.03","94.10","0.24K","1.01%"
"02/23/2023","93.84","93.47","94.98","93.26","0.80K","0.42%"
"02/22/2023","93.45","97.12","97.12","93.36","0.26K","-3.78%"
"02/21/2023","97.12","95.43","97.99","94.00","0.53K","2.11%"
"02/20/2023","95.11","94.63","96.70","93.96","0.68K","1.91%"
"02/17/2023","93.33","94.95","95.42","92.55","0.60K","-1.89%"
"02/16/2023","95.13","91.68","95.13","91.68","0.56K","3.96%"
"02/15/2023","91.51","88.51","91.58","88.10","2.06K","3.26%"
"02/14/2023","88.62","90.25","90.25","87.24","0.75K","-0.82%"
"02/13/2023","89.35","90.10","90.63","89.00","0.24K","-1.21%"
"02/10/2023","90.44","88.00","90.44","88.00","1.21K","2.20%"
"02/09/2023","88.49","87.60","89.92","87.23","0.53K","1.03%"
