"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"04.01.2022 16:00 - 04.01.2022 17:00","0","0","3","1042","960","1076","1486","1492","1564"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","1","1074","1029","1080","1654","1708","1813"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","1","1038","1024","1085","1799","1916","1724"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","1","1029","1052","1114","1821","1909","1705"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","0","1025","1082","1081","1902","1954","1947"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","0","938","1057","1098","1968","1958","2193"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","0","935","1028","1097","2089","1963","2359"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","0","1049","958","1100","2129","1990","2217"
"05.01.2022 00:00 - 05.01.2022 01:00","0","N/A","0","1015","N/A","1089","2197","N/A","2070"
"05.01.2022 01:00 - 05.01.2022 02:00","0","N/A","0","1016","N/A","1077","2136","N/A","2115"
"05.01.2022 02:00 - 05.01.2022 03:00","0","N/A","0","1053","N/A","1132","2059","N/A","1886"
"05.01.2022 03:00 - 05.01.2022 04:00","0","N/A","0","1052","N/A","1095","1873","N/A","1549"
"05.01.2022 04:00 - 05.01.2022 05:00","0","N/A","0","1044","N/A","1016","1730","N/A","1505"
"05.01.2022 05:00 - 05.01.2022 06:00","0","N/A","0","1033","N/A","1090","1581","N/A","1168"
"05.01.2022 06:00 - 05.01.2022 07:00","0","N/A","0","1008","N/A","1079","1476","N/A","1174"
"05.01.2022 07:00 - 05.01.2022 08:00","0","N/A","0","1012","N/A","967","1465","N/A","1064"
"05.01.2022 08:00 - 05.01.2022 09:00","0","0","0","981","926","931","1400","841","841"
"05.01.2022 09:00 - 05.01.2022 10:00","10","11","17","904","864","948","1379","751","507"
"05.01.2022 10:00 - 05.01.2022 11:00","37","40","38","892","870","992","1424","740","453"
"05.01.2022 11:00 - 05.01.2022 12:00","67","75","127","951","913","948","1519","911","773"
"05.01.2022 12:00 - 05.01.2022 13:00","78","94","133","1037","978","884","1546","1127","1010"
"05.01.2022 13:00 - 05.01.2022 14:00","68","85","109","1069","1017","944","1415","1162","1259"
"05.01.2022 14:00 - 05.01.2022 15:00","44","51","56","942","1038","905","1290","1112","1433"
"05.01.2022 15:00 - 05.01.2022 16:00","14","13","11","933","1078","975","1191","1033","1429"
"05.01.2022 16:00 - 05.01.2022 17:00","0","0","2","1004","1108","1127","1232","1032","1233"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","1","1068","1035","906","1272","1110","1278"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","1","1055","820","727","1200","1224","1352"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","1","923","758","735","1064","1240","1375"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","0","711","836","792","1155","1352","1340"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","0","546","875","930","1205","1334","1133"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","0","549","796","781","1218","1278","939"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","0","622","849","835","1144","1211","856"
"06.01.2022 00:00 - 06.01.2022 01:00","0","N/A","0","953","N/A","805","1175","N/A","769"
"06.01.2022 01:00 - 06.01.2022 02:00","0","N/A","0","958","N/A","764","1021","N/A","698"
"06.01.2022 02:00 - 06.01.2022 03:00","0","N/A","0","978","N/A","1028","846","N/A","558"
"06.01.2022 03:00 - 06.01.2022 04:00","0","N/A","0","909","N/A","898","647","N/A","458"
"06.01.2022 04:00 - 06.01.2022 05:00","0","N/A","0","774","N/A","659","499","N/A","255"
"06.01.2022 05:00 - 06.01.2022 06:00","0","N/A","0","559","N/A","476","358","N/A","160"
"06.01.2022 06:00 - 06.01.2022 07:00","0","N/A","0","373","N/A","400","252","N/A","84"
"06.01.2022 07:00 - 06.01.2022 08:00","0","N/A","0","214","N/A","340","183","N/A","80"
"06.01.2022 08:00 - 06.01.2022 09:00","0","0","0","144","148","148","153","70","100"
"06.01.2022 09:00 - 06.01.2022 10:00","21","22","29","114","157","126","128","108","140"
"06.01.2022 10:00 - 06.01.2022 11:00","69","71","115","117","141","135","109","119","261"
"06.01.2022 11:00 - 06.01.2022 12:00","110","112","254","90","99","166","118","138","318"
"06.01.2022 12:00 - 06.01.2022 13:00","119","123","318","86","63","77","137","151","212"
"06.01.2022 13:00 - 06.01.2022 14:00","102","106","260","87","45","163","141","151","131"
"06.01.2022 14:00 - 06.01.2022 15:00","62","64","146","79","67","162","145","148","134"
"06.01.2022 15:00 - 06.01.2022 16:00","17","17","31","114","102","235","166","162","192"
"06.01.2022 16:00 - 06.01.2022 17:00","0","0","1","160","143","269","176","193","328"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","1","250","220","379","207","257","431"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","1","350","364","368","276","337","631"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","1","460","557","674","377","418","789"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","0","562","685","624","475","529","891"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","0","671","770","813","627","640","1013"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","0","722","799","851","807","799","1092"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","0","797","842","947","1008","1007","1333"
"07.01.2022 00:00 - 07.01.2022 01:00","0","N/A","0","903","N/A","989","1516","N/A","1369"
"07.01.2022 01:00 - 07.01.2022 02:00","0","N/A","0","943","N/A","983","1614","N/A","1450"
"07.01.2022 02:00 - 07.01.2022 03:00","0","N/A","0","954","N/A","984","1819","N/A","1777"
"07.01.2022 03:00 - 07.01.2022 04:00","0","N/A","0","967","N/A","1125","2000","N/A","1971"
"07.01.2022 04:00 - 07.01.2022 05:00","0","N/A","0","1016","N/A","1096","2153","N/A","2279"
"07.01.2022 05:00 - 07.01.2022 06:00","0","N/A","0","1032","N/A","1133","2234","N/A","2326"
"07.01.2022 06:00 - 07.01.2022 07:00","0","N/A","0","1008","N/A","1121","2263","N/A","2315"
"07.01.2022 07:00 - 07.01.2022 08:00","0","N/A","0","1023","N/A","1071","2165","N/A","2321"
"07.01.2022 08:00 - 07.01.2022 09:00","0","0","0","1049","1032","1046","1876","2036","2036"
"07.01.2022 09:00 - 07.01.2022 10:00","8","8","14","1011","932","877","1532","1706","1757"
"07.01.2022 10:00 - 07.01.2022 11:00","33","32","25","998","880","690","1262","1441","1571"
